Date_and_Time,DPV_res_MW,DPV_non_res_MW,CF,DPV_res_MWh,DPV_non_res_MWh
2019-05-22 15:00:00+00:00,0.0321306376487096,0.0210823614044354,0.6880328628472289,0.0221069346065486,0.0145053574726736
2019-05-22 16:00:00+00:00,0.0321315983925806,0.0210824064744623,0.7729946440667811,0.0248375534627695,0.0162965872887981
2019-05-22 17:00:00+00:00,0.0321325591364516,0.0210824515444892,0.7859575850551678,0.0252548285805278,0.0165699127029493
2019-05-22 18:00:00+00:00,0.0321335198803225,0.0210824966145161,0.6823124422341548,0.0219251004271226,0.0143848497534437
2019-05-22 19:00:00+00:00,0.0321344806241935,0.021082541684543,0.7566077828923534,0.0243131981394683,0.0159512151216777
2019-05-22 20:00:00+00:00,0.0321354413680645,0.0210825867545698,0.6429293692922512,0.0206608190506978,0.0135546142051647
2019-05-22 21:00:00+00:00,0.0321364021119354,0.0210826318245967,0.4906473335775614,0.0157676400069974,0.0103441370895358
2019-05-22 22:00:00+00:00,0.0321373628558064,0.0210826768946236,0.2861371266540822,0.0091956926658,0.006032536588804
2019-05-22 23:00:00+00:00,0.0321383235996774,0.0210827219646505,0.0758162540217888,0.0024366073058675,0.0015984130039426
2019-05-23 00:00:00+00:00,0.0321392843435483,0.0210827670346774,0.0047648926876483,0.0001531402409548,0.0001004571224789
2019-05-23 01:00:00+00:00,0.0321402450874193,0.0210828121047043,0.0,0.0,0.0
2019-05-23 02:00:00+00:00,0.0321412058312903,0.0210828571747311,0.0,0.0,0.0
2019-05-23 03:00:00+00:00,0.0321421665751612,0.021082902244758,0.0,0.0,0.0
2019-05-23 04:00:00+00:00,0.0321431273190322,0.0210829473147849,0.0,0.0,0.0
2019-05-23 05:00:00+00:00,0.0321440880629032,0.0210829923848118,0.0,0.0,0.0
2019-05-23 06:00:00+00:00,0.0321450488067741,0.0210830374548387,0.0,0.0,0.0
2019-05-23 07:00:00+00:00,0.0321460095506451,0.0210830825248655,0.0,0.0,0.0
2019-05-23 08:00:00+00:00,0.0321469702945161,0.0210831275948924,0.0,0.0,0.0
2019-05-23 09:00:00+00:00,0.0321479310383871,0.0210831726649193,0.0,0.0,0.0
2019-05-23 10:00:00+00:00,0.032148891782258,0.0210832177349462,0.0,0.0,0.0
2019-05-23 11:00:00+00:00,0.032149852526129,0.0210832628049731,0.0489712734580526,0.0015744192196931,0.0010324742282103
2019-05-23 12:00:00+00:00,0.03215081327,0.021083307875,0.1608753720143941,0.0051722740453765,0.0033917849976846
2019-05-23 13:00:00+00:00,0.0321517740138709,0.0210833529450268,0.2811208636094108,0.009038534477354,0.0059269703876879
2019-05-23 14:00:00+00:00,0.0321527347577419,0.0210833980150537,0.4942127426691854,0.0158902912289384,0.0104196839578057
2019-05-23 15:00:00+00:00,0.0321536955016129,0.0210834430850806,0.6303592376475047,0.0202683789839467,0.0132901431100959
2019-05-23 16:00:00+00:00,0.0321546562454838,0.0210834881551075,0.7453778878170781,0.0239673697557429,0.0157151658688704
2019-05-23 17:00:00+00:00,0.0321556169893548,0.0210835332251344,0.802665218307544,0.0258101953305742,0.0169230187988468
2019-05-23 18:00:00+00:00,0.0321565777332258,0.0210835782951612,0.7480834358710672,0.0240558031565266,0.0157722756915008
2019-05-23 19:00:00+00:00,0.0321575384770967,0.0210836233651881,0.6381646970169831,0.0205218057990483,0.0134548241168654
2019-05-23 20:00:00+00:00,0.0321584992209677,0.021083668435215,0.5827850150782635,0.0187414914533859,0.0122872460269218
2019-05-23 21:00:00+00:00,0.0321594599648387,0.0210837135052419,0.4400301938691364,0.0141511334030547,0.0092774705411929
2019-05-23 22:00:00+00:00,0.0321604207087096,0.0210837585752688,0.2918509205068411,0.0093860483877241,0.0061533143479362
2019-05-23 23:00:00+00:00,0.0321613814525806,0.0210838036452957,0.1056506244558389,0.0033978700338275,0.0022275170210297
2019-05-24 00:00:00+00:00,0.0321623421964516,0.0210838487153225,0.0035153221733366,0.0001130609946696,7.411652088824842e-05
2019-05-24 01:00:00+00:00,0.0321633029403225,0.0210838937853494,0.0,0.0,0.0
2019-05-24 02:00:00+00:00,0.0321642636841935,0.0210839388553763,0.0,0.0,0.0
2019-05-24 03:00:00+00:00,0.0321652244280645,0.0210839839254032,0.0,0.0,0.0
2019-05-24 04:00:00+00:00,0.0321661851719354,0.0210840289954301,0.0,0.0,0.0
2019-05-24 05:00:00+00:00,0.0321671459158064,0.0210840740654569,0.0,0.0,0.0
2019-05-24 06:00:00+00:00,0.0321681066596774,0.0210841191354838,0.0,0.0,0.0
2019-05-24 07:00:00+00:00,0.0321690674035483,0.0210841642055107,0.0,0.0,0.0
