Date_and_Time,Solar_Altitude,Solar_Azimuth,azimuth_sin,azimuth_cos
2019-05-01 00:00:00+00:00,3.7466927376846084,285.72575867490156,-0.9625699943021677,0.2710332194937085
2019-05-01 01:00:00+00:00,-8.014508207385738,294.4889254635041,-0.9100414087426317,0.41451735111298577
2019-05-01 02:00:00+00:00,-18.731167188323784,304.53306194919213,-0.8237992124518216,0.5668816962680647
2019-05-01 03:00:00+00:00,-28.09280143543403,316.6100833998107,-0.6869596313591285,0.726695579237228
2019-05-01 04:00:00+00:00,-35.34731577733793,331.38760881450116,-0.47888172547571556,0.8778794296515903
2019-05-01 05:00:00+00:00,-39.544817981871375,348.8901272035634,-0.19269105295758998,0.9812594754243626
2019-05-01 06:00:00+00:00,-39.895302461664244,7.754804462742669,0.13493401756493406,0.990854586154692
2019-05-01 07:00:00+00:00,-36.32211720004958,25.63316261018005,0.43260765412013374,0.9015822855384165
2019-05-01 08:00:00+00:00,-29.527120356275887,40.90806665988251,0.6548472236674763,0.7557612808651938
2019-05-01 09:00:00+00:00,-20.468827105688618,53.40565186654392,0.8028762851008998,0.5961456791947575
2019-05-01 10:00:00+00:00,-9.942635614903752,63.73493500703101,0.8967564179171055,0.4425244930221169
2019-05-01 11:00:00+00:00,1.8153002013462576,72.65083294669446,0.9545052626020903,0.2981940704724266
2019-05-01 12:00:00+00:00,13.56268837032625,80.85465167120645,0.987288318912752,0.15893953359196683
2019-05-01 13:00:00+00:00,25.801238883848164,89.0423603132349,0.999860324928907,0.016713187399795007
2019-05-01 14:00:00+00:00,38.08340776849073,98.0962936604108,0.9900327702399682,-0.14083718916172094
2019-05-01 15:00:00+00:00,50.045801416607596,109.52320462363124,0.9425062229839771,-0.3341885989025921
2019-05-01 16:00:00+00:00,60.955409867903526,126.55127049827306,0.8033242682193165,-0.5955418709796144
2019-05-01 17:00:00+00:00,68.82965757213891,155.77220405943433,0.4103654830397821,-0.9119211426047354
2019-05-01 18:00:00+00:00,69.61909592258573,197.31981371632202,-0.29770502650145736,-0.9546579058467837
2019-05-01 19:00:00+00:00,62.69594184241042,229.43325559849953,-0.7596489015878479,-0.6503334116561874
2019-05-01 20:00:00+00:00,52.13129206632344,248.07630592241514,-0.9276819293229022,-0.3733714477671505
2019-05-01 21:00:00+00:00,40.29287415673274,260.20118265801494,-0.985411411614866,-0.17018915905308774
2019-05-01 22:00:00+00:00,28.04757102832702,269.55009123402317,-0.9999691701495561,-0.007852308603718492
2019-05-01 23:00:00+00:00,15.794047052292981,277.8295017236317,-0.9906778288903745,0.13622569267599194
2019-05-02 00:00:00+00:00,3.8914590894575944,285.99060104832586,-0.9613068992874442,0.27547966419022585
2019-05-02 01:00:00+00:00,-7.845158138299912,294.7436089234647,-0.9081898677131269,0.4185584358046235
2019-05-02 02:00:00+00:00,-18.535426967473338,304.7780309027926,-0.8213679792263162,0.5703986699683633
2019-05-02 03:00:00+00:00,-27.864166585655106,316.8360232139502,-0.6840886508146341,0.7293988742976051
2019-05-02 04:00:00+00:00,-35.083062322087564,331.56976302650855,-0.4760883639308805,0.8793974469656013
2019-05-02 05:00:00+00:00,-39.25177044928848,348.9902805195624,-0.19097551285724798,0.9815948010706409
2019-05-02 06:00:00+00:00,-39.59245591091312,7.746506506149416,0.13479051398636716,0.9908741178067428
2019-05-02 07:00:00+00:00,-36.03139305740674,25.52857931183783,0.43096125556146614,0.902370431809955
2019-05-02 08:00:00+00:00,-29.26112156181204,40.742604146425805,0.652661959024618,0.7576492376041488
2019-05-02 09:00:00+00:00,-20.229591740433236,53.208423366846745,0.8008194280403004,0.5989058721311774
2019-05-02 10:00:00+00:00,-9.726633824296103,63.5204466005918,0.8950935349891673,0.44587841798027894
2019-05-02 11:00:00+00:00,1.9985458260468962,72.4228530911946,0.9533111957321921,0.3019896754719571
2019-05-02 12:00:00+00:00,13.748166040156248,80.61038847136952,0.9866017585153501,0.16314708117039306
2019-05-02 13:00:00+00:00,25.982224841722005,88.77441072879209,0.9997712305221529,0.021388936865121708
2019-05-02 14:00:00+00:00,38.26794854469783,97.79327089465593,0.9907637727599184,-0.13559921307490164
2019-05-02 15:00:00+00:00,50.24649763780544,109.17278317405899,0.9445324829787317,-0.32841800894291995
2019-05-02 16:00:00+00:00,61.19240430960047,126.16760178612529,0.8072941443426708,-0.5901492730742242
2019-05-02 17:00:00+00:00,69.1197870094724,155.55059939613903,0.41388947053480757,-0.910327142394654
2019-05-02 18:00:00+00:00,69.9015726473261,197.6173446570156,-0.3026584280786718,-0.9530990902906935
2019-05-02 19:00:00+00:00,62.90585689058231,229.90356827795043,-0.764961514294509,-0.6440759905851573
2019-05-02 20:00:00+00:00,52.292669880873994,248.48956668210153,-0.9303508142411234,-0.36667064573112296
2019-05-02 21:00:00+00:00,40.43238828394765,260.5498541998113,-0.9864288393681262,-0.16418935672829527
2019-05-02 22:00:00+00:00,28.18096864888841,269.8545709527303,-0.9999967787322522,-0.002538212977470502
2019-05-02 23:00:00+00:00,15.931219474830465,278.10631065332757,-0.9900081326133159,0.14101027395014584
2019-05-03 00:00:00+00:00,4.0358984198819154,286.2507870916004,-0.96004601018905,0.27984220253579783
2019-05-03 01:00:00+00:00,-7.676537066431292,294.99335712619387,-0.9063567793148024,0.42251318155780493
2019-05-03 02:00:00+00:00,-18.340765887592063,305.0176316219663,-0.818975498911849,0.5738284867293434
2019-05-03 03:00:00+00:00,-27.637241852990876,317.05615772048316,-0.681281205677143,0.7320218021282552
